sub,erq_cog_reap_s,erq_exp_supp_s,income_s,tas_total_s,cesd_total_s,gad_total_s,irq_total_s,bfi_extraversion_s,bfi_neuroticism_s,ius_total_s,liberalism_s,age_s,covid_knowledge_s,covid_estimate_log_s,covid_behave1_s,covid_behave2_s,covid_media_facebook_s,covid_media_youtube_s,covid_media_twitter_s,covid_media_other_s,covid_media_govt_s,covid_media_online_s,covid_media_tv_s,covid_media_usa_s,covid_media_int_s,gender,covid_infect,education_s,household_num_s,social_events_s,covid_emo_distress_s
469,0.5360442452257228,-1.347598966789906,-0.7679646087179736,-0.13069544010147108,1.245548977000247,2.2286809782841828,0.602892566777618,0.22253486491409835,0.10839380986747305,0.5381066437683986,-0.33795939525933477,1.2014803361359678,-0.7304546412394447,0.12209694332661548,0.7591954394098369,0.2504877960378461,0.7028778255958561,0.07577611025883182,-0.7422528705282655,0.5903420335961732,-0.35295613354105315,-0.2426476108330308,-0.6258789618931412,-1.234468645541545,-0.06983756746626303,1,0,0.20210176010288783,-0.7857166141995297,-1.7386808575349146,1.4345582457958077
470,0.5360442452257228,0.9473540041984131,-0.24155069037767057,1.7703608480722992,-0.08518898757957603,0.5255051883499585,0.19234407286932909,-1.0560290862287223,-0.04753537337131981,1.394659980453469,0.10037059707659898,-1.4960337317545056,-1.2844314411554403,0.46134587019936457,-0.3435554751190986,0.2504877960378461,1.4609303610507725,2.5528710249268505,2.381634904214445,1.3143320049405096,-1.981191727686641,-1.7510406276836101,-1.3070882108882016,0.9147990789274802,-0.940969330071753,0,0,-0.9543920140069955,-0.33181085535665694,1.952852071788936,0.2917016808939119
471,1.4530426412690043,-0.39136856221143973,0.8112771463029355,-1.7011332433754551,-1.4159269521593991,-1.177670601584266,-0.27685420588300114,1.501098816056919,-1.1390396560428708,0.06224367894335965,-1.383207838521946,-0.5550404522578287,-1.8384082410714346,-0.338235166555083,0.20781998214536976,-0.18047850277136987,0.7028778255958561,2.5528710249268505,0.03871907315741221,-0.13364793774816322,-1.981191727686641,0.5115488975922589,0.7365395360969799,0.9147990789274802,-1.812101092677243,0,0,0.20210176010288783,0.5760006623290885,1.2145454859241656,-0.546393133367478
472,0.38321117921850895,-1.9213372095369858,1.3376910646432385,-0.9572416523509364,-1.2495847065869212,-0.15576512762373126,1.1893904152180308,0.22253486491409835,1.667685642255403,-0.4136192858816793,1.3479251906481027,0.8878159096370756,0.9314757585085395,0.46134587019936457,0.5007381938171176,0.6814540948470621,-0.8132272453139767,-0.7499221946305077,1.6006629605287677,0.5903420335961732,1.2752794606045348,1.2657454060175486,0.7365395360969799,0.9147990789274802,1.672425957744717,1,0,0.20210176010288783,0.5760006623290885,-0.6312209787377596,0.3122144910331768
473,-0.22812108481034568,0.5648618423670265,-0.7679646087179736,0.19992304479831505,0.8296933630690524,-0.49640028561057614,-2.0949975360482807,-0.6907251001879161,0.26432299310626634,-0.9846548436717264,-1.0123132296223099,1.7033434185341954,-0.17647784132345035,-2.5970344673902166,-1.1533881779762862,0.6814540948470621,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-1.981191727686641,-1.7510406276836101,0.05533028710191937,-1.234468645541545,-0.940969330071753,0,0,1.3585955342127711,-0.33181085535665694,0.4762389000593955,-1.3639751374896032
474,-1.145119480853627,0.18236968053564004,0.8112771463029355,0.44788690847315465,-0.5010446015107708,-1.177670601584266,-0.452803560415125,0.40518685793450165,-0.5153229230876988,-1.3653452155317576,-0.33795939525933477,-0.11591025515937964,-0.7304546412394447,0.12209694332661548,0.8625783376469248,-0.18047850277136987,-0.05517470985906033,0.07577611025883182,0.8196910168430899,-0.13364793774816322,-0.35295613354105315,-0.9968441192583205,-0.6258789618931412,-1.234468645541545,-0.06983756746626303,1,0,0.20210176010288783,1.0299064211719613,1.2145454859241656,-0.15958014216991345
475,-0.9922864148464133,-0.7738607240428262,-0.7679646087179736,1.6877062268473526,0.41383774913785765,1.206775504323648,1.248040200062072,0.5878388509549044,0.8880397260614382,-0.5087918788466873,0.3026767473854915,0.6368843684379617,-0.17647784132345035,1.9905360389941547,0.8625783376469248,0.6814540948470621,1.4609303610507725,0.9014744151481714,0.8196910168430899,1.3143320049405096,1.2752794606045348,-0.2426476108330308,0.7365395360969799,0.9147990789274802,1.672425957744717,1,0,0.20210176010288783,1.0299064211719613,0.8453921929917806,1.487305471868203
476,-1.2979525468608406,0.5648618423670265,-1.2943785270582766,-0.21335006132641762,-0.9169002154419655,-0.49640028561057614,-0.9806516240114965,-0.8733770932083195,-0.5153229230876988,-0.31844669291667177,-7.824780778472682e-4,0.950548794936854,0.3774989585925452,0.3131520310496689,0.5179686768566324,-0.18047850277136987,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-0.35295613354105315,0.5115488975922589,1.4177487850920405,-0.15983478330703232,0.801294195139227,0,0,1.3585955342127711,-0.33181085535665694,-0.6312209787377596,0.6755842706430105
477,0.8417103772401497,-0.20012248129574647,0.28486322796263247,-0.6266231674511503,0.8296933630690524,0.8661403463368034,-0.3355039907270424,0.039882871893695555,0.10839380986747305,-0.03292891402164834,1.0107482734666153,1.1387474508361892,0.3774989585925452,-0.25511196373270695,0.5179686768566324,0.6814540948470621,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-0.35295613354105315,0.5115488975922589,0.7365395360969799,-0.15983478330703232,0.801294195139227,0,0,-0.9543920140069955,-0.33181085535665694,0.8453921929917806,0.8514083575509944
478,-1.909284810889695,-1.5388450477055993,-1.2943785270582766,0.3652322872482081,-0.8337290926557266,-0.6667178646039986,0.01639471833720526,-0.32542111414711056,-0.8271812895652847,-1.3653452155317576,1.0107482734666153,1.7660763038339737,-0.7304546412394447,-0.29537391798172413,-0.9638528645416252,-2.3353099968174496,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-1.1670739306138471,-1.7510406276836101,1.4177487850920405,-0.15983478330703232,-0.940969330071753,0,0,0.5875996848061823,-0.7857166141995297,-2.1078341504672995,-0.3940122580472251
