sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
990,0,100,0,0,0,59,84,73,0,0,0,0,0,0,0
991,79,34,75,80,85,91,0,56,59,73,73,86,60,40,0
992,100,58,90,100,80,0,0,0,50,60,20,60,60,50,0
993,80,70,20,90,0,0,0,95,75,65,64,64,64,44,67
994,90,75,52,86,86,86,0,50,40,61,56,76,51,25,0
995,60,19,23,87,81,97,0,60,100,87,59,87,100,31,85
996,92,30,83,95,96,100,72,85,35,85,70,86,40,13,85
997,60,41,80,100,100,0,0,100,0,40,40,72,0,0,0
998,84,69,23,85,32,77,22,79,87,63,53,75,83,30,84
999,71,45,73,98,98,74,69,96,29,56,56,56,39,34,58
1000,100,0,100,100,100,100,0,0,100,100,100,100,100,0,0
